Row	TCGA_AO_A12F_01	TCGA_B6_A0I6_01	TCGA_A8_A07O_01	TCGA_C8_A12K_01	TCGA_BH_A0DL_01	TCGA_AN_A0AR_01	TCGA_AO_A129_01	TCGA_A8_A07C_01	TCGA_A2_A0YM_01	TCGA_BH_A0HL_01	TCGA_AO_A0J6_01	TCGA_AR_A0TU_01	TCGA_A2_A0SX_01	TCGA_AN_A0FL_01	TCGA_A2_A0D2_01	TCGA_B6_A0RT_01	TCGA_BH_A18Q_01	TCGA_B6_A0IQ_01	TCGA_A2_A0YJ_01	TCGA_A2_A04P_01	TCGA_BH_A0BL_01	TCGA_A8_A08R_01	TCGA_A7_A13D_01	TCGA_AR_A0TS_01	TCGA_E2_A14Y_01	TCGA_BH_A18V_01	TCGA_E2_A158_01	TCGA_E2_A150_01	TCGA_AN_A0AL_01	TCGA_AO_A0J4_01	TCGA_A2_A0T2_01	TCGA_AR_A1AY_01	TCGA_AO_A128_01	TCGA_D8_A143_01	TCGA_A2_A04U_01	TCGA_D8_A147_01	TCGA_C8_A131_01	TCGA_BH_A0WA_01	TCGA_AR_A1AI_01	TCGA_BH_A0RX_01	TCGA_AO_A124_01	TCGA_A2_A0CM_01	TCGA_BH_A0E6_01	TCGA_AR_A1AR_01	TCGA_BH_A0B3_01	TCGA_E2_A14N_01	TCGA_BH_A0HN_01	TCGA_BH_A0BG_01	TCGA_B6_A0I2_01	TCGA_AR_A1AQ_01	TCGA_AN_A0XU_01	TCGA_E2_A14R_01	TCGA_A8_A07U_01	TCGA_BH_A18K_01	TCGA_AO_A0JL_01	TCGA_A2_A04T_01	TCGA_B6_A0RU_01	TCGA_A2_A0T0_01	TCGA_BH_A0BW_01	TCGA_A2_A0YE_01	TCGA_B6_A0X1_01	TCGA_B6_A0WX_01	TCGA_A2_A0ST_01	TCGA_E2_A159_01	TCGA_AQ_A04J_01	TCGA_AR_A1AJ_01	TCGA_A8_A08H_01	TCGA_A7_A0DA_01	TCGA_D8_A142_01	TCGA_AN_A04D_01	TCGA_E2_A1B5_01	TCGA_A1_A0SK_01	TCGA_BH_A18G_01	TCGA_B6_A0RE_01	TCGA_BH_A0AV_01	TCGA_C8_A12V_01	TCGA_A7_A13E_01	TCGA_A2_A0D0_01	TCGA_AN_A0G0_01	TCGA_AN_A0FX_01	TCGA_A8_A07R_01	TCGA_BH_A1F0_01	TCGA_BH_A0B9_01	TCGA_AN_A0FJ_01	TCGA_A2_A04Q_01	TCGA_C8_A134_01	TCGA_E2_A14X_01	TCGA_AR_A0U0_01	TCGA_A1_A0SO_01	TCGA_A7_A0CE_01	TCGA_AN_A0AT_01	TCGA_AR_A0U4_01	TCGA_B6_A0IJ_01	TCGA_AR_A0TP_01	TCGA_E2_A1AZ_01	TCGA_BH_A0E0_01	TCGA_AR_A1AH_01
CLDN16|10686	0	1.3801	5.0837	1.8507	11.4268	0.7213	0	0.266	40.3462	0	4.851	0	69.6853	0.4606	0	2.8612	8.8955	0.2999	0.4068	1.0373	6.991	2.448	3.6559	14.0799	0.5294	461.3473	0.3427	38.8507	20.1288	17.0799	6.6875	1.8371	0.5427	0	1.0391	11.74	2.4062	2.0525	2.0422	1.4335	28.0581	4.6152	0	3.7074	1.1517	1.7869	0	25.7704	14.8816	1.5496	3.4459	3.2099	7.5986	0	1.834	0.6955	1.7741	0.3276	29.4768	0	0.5436	2.6546	6.4164	3.9289	4.7604	2.3206	0.4455	1.3387	0.5312	0	1.2804	2.2061	0.625	1.1575	9.4023	0	0	0	0	3.5088	54.922	6.6674	2.0152	7.2029	1.157	1.4824	1.9971	1.9569	0.5407	13.5605	0.5765	15.1151	1.4014	1.0862	0.7502	0	0
CLDN17|26285	0	0	0	0	0	0	0	0	0.2945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6693	0	0	0	0	0	0.3858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLDN18|51208	0.3403	0.46	0.8971	0.9254	1.2353	0	1.9305	0.5319	1.178	1.5011	0.2553	0.313	3.8536	0.4606	2.9569	1.2717	3.8123	2.3996	0	1.0373	8.5108	3.978	1.2186	0.3274	3.1763	2.6514	0	0	0.4026	1.0197	0.8917	1.8371	1.0855	0.3783	1.0391	5.3668	0.9625	0.6842	0	0	1.4315	0.923	0.4673	5.6846	6.5265	2.2336	0.4895	1.5714	3.6077	3.0992	4.4797	0.4586	0.7999	1.4166	0	0.3477	0.3548	0.6553	4.0531	0.9506	2.7178	0	0.8555	0.3572	2.5389	0.7735	0.891	2.008	1.5936	0.2879	0.4268	1.5758	1.875	1.1575	5.7085	0	2.5622	0.4119	0.5862	9.5694	0.9004	0.6452	0.6717	0	0.3857	0	0.2496	0	0.5407	8.4753	0.2883	2.4047	1.962	15.2064	3.7509	0.6094	2.3476
CLDN19|149461	5.7848	11.5009	0	0	2.4707	0.7213	5.4054	0	2.356	0.3002	0.2553	0.313	0.9634	0	3.6962	25.4332	22.8741	1.1998	0	0	14.8939	2.142	0.4062	0.6549	0	0	112.7581	2.0235	2.0129	1.5295	2.675	5.8786	0.8141	0.3783	0	3.6897	0	11.2886	0	24.3698	0.5726	1.3846	7.4766	0.2472	1.9196	1.3402	0	2.1999	1.3529	0	1.0338	0	0	8.8535	0	1.0432	43.6433	0	0.3685	3.1686	0	36.4061	52.6147	1.0715	11.1076	1.9338	9.8006	0	3.4529	1.1517	10.6701	8.8245	0	3.0867	0	24.3309	0	0	0	29.3461	1.8007	2.1508	2.4631	89.4358	13.1122	2.9648	3.9943	0	0	5.7632	3.4592	0.3435	10.651	0	10.5026	45.0945	0
CLDN1|9076	60.57	507.4181	185.1077	638.8032	6413.5269	1099.991	301.9305	146.0106	5442.6156	40.2282	1216.8252	102.9895	7186.2556	143.7126	738.8653	319.822	2095.0969	296.6453	120.8299	1269.1909	2722.5421	174.1126	1937.2398	3009.1683	932.7687	24275.0849	12.681	10775.3946	2824.0741	5797.7184	6560.856	467.3464	52.6459	576.5166	386.0242	3204.6745	927.8152	1426.1317	219.5371	1180.2652	7835.6596	1165.3398	258.8785	6869.5007	894.9035	652.2217	353.4019	9270.4159	2231.7926	1237.6033	536.5265	991.402	1512.1187	548.5613	297.715	689.2115	646.4884	269.9816	4101.6949	490.4943	404.4028	1428.18	1716.1801	1283.686	703.2688	446.7139	248.58	532.7979	415.405	50.6766	386.2569	939.8046	2781.25	1867.0782	2258.227	198.2968	130.6715	364.9094	109.3281	552.7911	2113.1453	4155.2855	658.3072	1813.3253	351.3305	230.4108	112.3385	762.0352	17.8433	3160.6068	426.3477	430.0928	137.0612	1246.5605	292.5731	1218.1597	116.3758
CLDN20|49861	3.4028	0.9201	2.3923	0.3085	1.5442	1.082	0.7722	7.7128	0.8835	1.5011	0	1.5652	0.9634	0	2.5873	2.8612	2.118	1.7997	1.2205	3.112	3.6475	2.754	1.2186	2.6195	0.5294	0.9943	1.0282	1.6188	2.818	2.8042	0.8917	2.5719	2.9851	1.5132	0	0.6709	0	0	2.0422	0.9557	4.8672	1.8461	1.4019	2.9659	1.1517	0.4467	3.4263	0.3143	0.9019	0	5.5134	0	3.5993	2.479	1.2226	0.6955	1.4193	0.6553	1.8423	2.218	1.6307	2.2754	2.1388	0.7143	4.443	2.7074	0.891	2.6774	1.8592	0	1.7072	1.2606	0	2.315	0.6716	0.811	1.2811	0.8237	0.5862	3.1898	0	2.796	0.2239	1.2005	1.5426	0.8471	1.9971	3.5225	1.0814	1.6951	2.0179	2.0611	0	1.0862	3.7509	0	1.6769
CLDN22|53842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLDN23|137075	586.644	561.7021	70.8732	259.4078	491.0439	143.1792	591.5058	280.3191	142.8315	121.2849	52.8499	43.1992	180.1541	530.1704	52.8553	746.7811	499.4176	84.5844	141.9854	62.2407	293.0145	76.1934	90.9922	200.3929	78.8777	38.4456	333.4761	278.4298	663.8486	72.908	1585.8226	720.1249	76.2551	105.1651	191.7132	564.1891	269.9711	160.4355	110.9598	463.505	209.0044	262.1438	389.2523	59.0707	373.5483	125.0836	10.279	272.4744	17.5874	639.4628	154.0317	231.1131	81.5848	94.5551	1000.7382	760.1495	792.6757	90.4307	155.4901	317.8074	288.0826	541.1611	117.2067	306.0988	354.808	181.3929	149.2371	50.5355	183.2669	1399.3665	45.6679	234.7936	362.5	105.7201	190.3962	274.1281	30.3192	124.3822	125.4488	59.9681	812.1248	292.0744	165.6964	96.6387	224.8361	148.0305	496.0369	187.0841	172.7558	60.3441	197.4632	120.9206	121.9256	426.8646	328.5821	599.025	19.1165
CLDN25|644672	0	0	0	0	0	1.4426	0	0	0	1.2008	0	0	0	0.9212	0	0	0	0	0	0	0	1.224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4812	0	0	0	0	0	0	0	0	0	2.9369	0	0	0	0	0	0	1.0624	0	1.0432	0.7096	0	0	0	0	0	0	0	0	0	0	0.3347	0	0	0	23.3218	0	0	0	0	0	0	0	0	0	0	0	1.2005	0	0	0	0	0	0.339	0	0	0	2.1723	0	0	0
CLDN2|9075	35.3722	1.3801	0.8971	0.3085	1.5442	4.6885	6.5637	24.2128	2.0615	0	9.4466	13.0349	14.4091	30.8614	11.946	6.9941	5.9303	8.9983	14.6461	29.0612	41.6421	2.142	4.0622	5.5665	3.7057	8.9485	21.4138	39.6601	0.4026	3.5689	3.1208	2.5719	18.6106	130.575	238.3011	1.0063	3.8499	3.7629	3.1926	61.5506	1.1452	0.4615	9.3458	7.0267	1.9196	20.9962	0.4895	3.7713	0	21.6942	2.7567	3.2099	8.7984	3.5414	10.0074	1.7387	4.6127	15.7271	1.1054	53.2034	19.5679	10.2392	0.8555	25.1272	7.934	17.4044	10.6916	9.7055	605.2855	8.2753	2.5608	0.977	34.375	6.5593	3.0222	1.2165	2.0711	6.1779	1640.8002	8.6124	3.6014	41.8411	1.1196	0.6002	16.1975	1.4824	3.495	6.2622	16.2212	60.0051	1.7296	4.1223	2.2423	11.5858	5.2513	0.6094	8.2167
CLDN3|1365	1912.0374	592.9845	908.1938	4037.9395	59.9135	3632.1342	1953.668	285.9043	2548.5848	1675.1726	1601.8383	1815.6206	1978.1631	3572.0866	749.5842	2452.7102	1068.3046	600.4894	1653.3767	557.0539	820.9876	1181.4565	4879.4557	1566.4702	25.9397	1094.0426	341.3589	602.9947	4886.0709	3122.5543	10374.0526	387.6183	4.6133	506.5326	1254.7084	1588.2493	3645.8133	1240.3822	909.4622	2486.6802	1932.5746	614.2841	17962.6168	18.0425	870.717	890.7741	1177.1904	2745.4863	1436.3021	543.3884	296.0028	3389.6595	581.8918	2873.838	10937.8176	790.7502	537.2028	1438.3728	1833.8246	721.7997	961.0001	4552.2764	1419.7412	1044.0218	430.0222	1038.8515	306.9384	1575.6359	2131.4741	1653.9015	577.8916	690.5137	1594.375	2308.4788	362.6595	2221.8167	1591.5448	788.715	506.778	73.0463	212.7851	1974.836	4028.8849	478.3914	721.9437	664.5489	2309.6798	407.045	1076.2768	1187.2193	1352.5512	6863.9643	1631.2802	1784.5764	148.5371	315.0518	222.3549
CLDN4|1364	5409.1025	4798.1599	6921.0526	10342.9981	6608.7091	6693.7156	4501.9305	2715.1596	6379.1189	8486.9409	17071.807	5968.3832	10262.6846	21475.357	8498.2443	5033.8579	5212.3266	3632.3307	10045.5655	9526.971	4610.1145	8969.4002	23975.6271	7687.6228	4339.8624	7977.4629	4311.5414	6981.7887	14165.8615	15726.9772	24600.0892	4159.0888	14909.0909	6709.0038	5618.392	7626.9509	10051.4918	3430.7207	4898.9108	5801.9353	5759.9313	5878.3893	19307.0093	3430.3015	5931.0874	4012.9506	4946.6471	8740.5522	7170.2368	5832.1281	2282.9083	9926.4015	10163.3096	5535.9008	6182.3245	5128.0536	3356.9853	10029.6193	9070.0074	7581.4322	7332.518	10451.5775	5083.0927	6978.123	4239.6065	4467.9125	2006.4595	12957.8313	10090.571	13019.0037	2206.9996	1673.8103	11120.625	10638.7576	2105.1041	5517.0316	10787.6588	3682.8666	8153.5869	3581.4992	2828.9316	10103.0218	6624.7201	5488.5954	10463.9414	5938.1618	13365.2874	7102.544	2906.2989	5125.1801	6208.4174	16450.0172	8578.5159	6240.0434	3201.8005	15329.677	5753.0553
CLDN5|7122	210.6338	109.0282	41.866	69.4016	47.5602	89.4419	111.9691	43.3511	27.6828	67.2471	11.9997	31.6168	113.6802	87.0567	149.3254	166.9051	115.2176	96.2823	24.8169	325.2075	127.6619	36.4137	160.8612	230.5174	35.9979	19.2228	22.2774	29.5427	125.6039	62.966	172.9826	23.8817	14.1113	92.6815	165.7358	13.4171	154.9567	47.5491	12.2532	469.7169	38.0789	63.2283	395.7944	58.8235	61.0423	46.0129	50.4161	56.5691	13.5287	30.4752	16.5403	49.0657	115.5785	156.8836	1141.3428	28.862	230.9901	42.2665	16.5807	45.3105	22.2856	152.8297	521.4416	46.7899	181.847	111.0016	798.3072	60.241	121.9124	109.1276	464.3619	49.7951	24.375	21.9929	81.5984	184.1038	51.2437	18.1219	28.7243	111.6427	2.7011	279.6	51.9481	105.6423	115.6961	72.2152	185.9826	20.7436	50.5561	101.3645	33.1508	53.5898	48.7702	73.4975	27.7569	189.5186	57.6848
CLDN6|9074	3.0625	0.46	11.9617	190.9315	0.6177	5248.5799	42.8571	0.5319	2.6505	0.3002	18.1273	431.0534	56.1978	111.93	86.4905	1.9075	0	29.3946	130.594	4.668	2.1277	1.224	4043.465	0.9823	1.0588	101.4169	442.1215	3.2376	383.2528	57.1028	3.5667	1.1022	0.5427	0.7566	0.5195	521.5898	5.7748	125.8855	22.4643	8.1233	85.6059	2.3076	3.271	0.4943	0	1.3402	0	98.9959	0.451	0.5165	55.479	5.9613	86.3839	130.3232	1.2226	188.4726	0.3548	0.6553	11.7907	8713.2446	6.5226	1.5169	2.9943	1.0715	9.2034	64.5898	0.4455	14.0562	195.2191	1.4397	1.2804	9.7699	0	33.5681	139.0195	0.4055	26.903	4.5305	195.2077	3.8278	295.018	1050.6506	2137.931	45.6182	5.0135	2.1177	1.9971	1.9569	1617.7947	1.6951	56.2122	1.0306	0	0.7241	91.5229	3.0469	1.6769
CLDN7|1366	66.0145	1595.8597	3472.189	1579.889	1507.412	5889.8206	721.2355	469.1489	2479.6723	5305.3137	3197.2937	1533.2603	3120.745	3059.4196	2142.6723	754.0931	2231.4942	294.5457	3834.4182	1925.8299	1201.5417	2720.0122	4888.3924	1901.4407	2375.8602	2572.2098	15.0801	224.2007	2619.5652	2114.3331	3734.7303	1080.5548	362.8223	3140.1996	987.1412	1645.272	4192.974	1684.06	1389.7209	1628.0014	1552.6448	3432.791	3269.1589	1724.4192	2902.006	3131.5578	2391.581	3771.5866	1415.1071	1178.2025	1123.3632	3975.6964	1353.3483	3523.3289	3790.8231	1803.0079	733.775	2753.8777	1388.3567	2566.8568	1163.7451	5634.9779	1343.5996	3626.038	1523.6433	1448.436	339.0133	1416.6667	3494.2895	1147.9988	959.8805	1527.8916	6833.75	2472.8465	1335.1242	872.2628	3258.247	1225.2883	1753.6455	1233.1738	4744.898	3745.349	2839.2297	675.2701	1212.4952	1038.9665	3405.8541	3614.09	686.6976	5222.1375	1894.7824	1331.8447	3663.3733	1518.4649	791.4479	859.2322	2069.2755
CLDN8|9073	77.2437	75.9057	31.1005	2.1592	130.0185	582.8149	145.9459	9.0426	30.6278	0.9006	70.7219	37.5646	368.3365	981.5753	188.8745	33.381	350.3124	263.3515	744.1009	529.0456	191.7968	363.5251	337.1585	2.2921	51.8793	148.4796	347.8708	348.8466	262.4799	11.2166	163.6202	65.0317	0	43.1253	121.5742	108.3431	1114.052	43.1021	67.7332	241.3093	53.8258	85.8429	49.5327	80.8206	24.9544	150.5471	18.1106	73.5398	322.8861	48.0372	67.8842	301.2725	36.7932	22.3108	321.5567	6.2592	350.5656	383.3476	170.5969	145.1204	0.5436	153.9674	272.0565	150.3706	300.8569	181.0062	99.7884	428.0455	113.9442	57.5871	169.4409	4.7274	854.375	632.0054	0.3358	77.0479	169.1043	53.1301	139.8109	111.3238	21.9088	81.9443	269.5925	141.0564	91.0143	54.6379	21.9684	4.6967	278.1936	13.8995	76.3909	15.4586	30.8318	283.8523	57.0143	54.8446	27.5009
CLDN9|9080	95.6189	12.881	5.0837	45.6508	8.6473	67.0814	44.0154	6.6489	202.9091	49.5347	29.3611	23.4779	298.3301	33.1644	26.2428	54.6813	11.0134	8.0985	76.0781	75.7261	37.6907	7.3439	2574.9975	126.7191	13.7639	15.5771	157.313	61.1089	244.3639	106.303	166.2951	16.5335	15.4681	18.5363	4.6759	96.6031	99.615	10.6045	4.4248	1.9114	42.3735	53.0749	244.8598	6.6733	83.6933	7.5944	12.7264	82.6537	2.2548	3.0992	14.4728	50.8999	51.5904	77.5564	124.0989	131.0962	13.8381	11.4677	6.6323	316.2231	4.892	55.7468	9.4108	37.8605	18.4069	20.4986	5.3458	57.8983	18.8579	9.2139	23.4742	4.4122	1.25	31.6389	13.7676	1.6221	48.2545	9.4728	17.0001	25.1994	8.1032	9.6785	126.9592	42.617	8.4844	29.8602	76.6398	3.1311	11.8955	6.7802	45.5463	11.3363	0.8409	37.2918	3.7509	121.8769	11.4028
CLDND1|56650	892.2161	1169.4077	1044.8565	1292.4121	2098.8264	388.423	1070.6564	2591.7553	1900.1004	645.752	1015.1273	701.2052	1007.7071	594.6568	908.8893	1680.8139	1721.9104	1868.0558	894.2229	1483.4025	1274.7953	926.8666	968.823	1300.262	1174.6956	1021.7914	1166.3097	1310.8053	799.5169	1228.4749	1169.8618	1327.4548	1235.0068	1614.5491	1919.7298	1508.753	846.9682	1118.2596	960.177	802.7715	1158.6858	1460.2515	881.7757	1531.6362	682.983	1562.2051	1234.4591	1781.9262	956.0316	1631.1983	1140.2481	1096.4118	973.4189	1097.1226	1546.0396	622.0986	1354.7162	1259.4772	1577.745	575.7288	1218.6438	1354.2302	1444.5514	1699.4374	1191.6852	1250.7989	906.1143	1507.6975	1025.7636	1142.816	1486.9825	1282.6978	1038.75	1083.4378	1867.0248	959.4485	1258.8876	1051.8946	566.2783	1705.9011	1123.0492	1299.0644	1101.2091	1926.7707	1096.0278	1186.5735	915.9333	609.002	1836.2402	957.0303	1487.4604	951.563	1525.8917	728.0956	1402.8507	1298.5984	802.8923
CLDND2|125875	4.0834	0.46	0	0.9254	0.3088	10.8196	1.5444	0.266	0.589	3.3023	2.0425	6.8868	2.2479	45.6011	0.3696	17.8032	2.118	0.2999	0	0.5187	3.6475	0.612	2.0311	1.9646	0.5294	1.6571	7.5401	1.2141	0.8052	1.0197	2.2292	1.4696	7.0556	0.3783	6.2346	0.3354	2.8874	0	0	1.4335	0.5726	0	2.8037	3.9545	0.7678	0	2.9369	0.3143	8.1172	1.0331	4.1351	3.6685	1.9996	2.1248	1.2226	0.3477	5.6772	0.9829	0	0	0.5436	0.3792	0.4278	1.4287	8.2513	1.5471	1.3365	0	0.7968	0.2879	4.6948	0.6303	0	2.7009	0.3358	0.811	1.2811	0	0.5862	1.9139	0	0.8603	1.1196	0.6002	1.9283	0.4235	1.7475	0.3914	0.8111	1.356	0.5765	0	0.5606	11.9479	0	0	0.6708
CLEC10A|10462	24.1599	2.7602	12.2608	94.3862	92.9586	12.6228	97.2973	44.6809	45.0582	7.8055	11.7444	138.3628	220.2954	5.0668	99.7967	383.7228	111.8289	65.9878	2.8478	43.5685	225.536	51.4076	1.2186	414.8657	3.1763	85.5083	26.7329	58.276	47.504	116.245	16.9416	5.5112	240.4342	71.4971	2.0782	39.5804	27.9115	25.656	150.4425	138.0958	2.2905	59.0747	26.6355	162.1354	24.5705	12.5084	12.2369	56.2548	45.0958	198.3471	10.3377	57.7783	162.7697	39.3094	5.5019	216.6391	100.4151	4.5871	7.3692	6.3371	3.8049	81.5344	698.9627	146.4416	207.2358	640.8701	915.9149	0.6693	58.9641	1.7276	276.9953	0.9455	1.25	2.7009	14.1034	235.6042	5.5514	38.3031	4.1035	29.9841	2.401	204.5381	112.1809	11.4046	209.0243	127.7001	140.2983	50.0978	7.2995	13.2215	47.8524	194.7784	292.6214	8.3273	33.7584	165.7526	9.7259
CLEC11A|6320	315.1	420.9316	107.9545	126.1567	122.9154	232.621	167.9537	47.0745	77.1584	171.7202	104.9339	55.7208	206.808	160.7554	170.7633	174.5351	69.893	100.7814	77.2986	188.7967	281.4641	184.2105	404.5902	103.4709	76.2308	70.2627	168.2804	114.9332	415.8615	151.6793	213.9991	87.8112	147.8969	249.2942	376.6723	52.6621	581.3282	150.8573	33.0157	384.6613	58.4067	248.7597	198.1308	69.4513	363.5666	28.1438	318.1596	127.909	59.9775	84.1942	638.5252	203.5997	116.7783	484.8163	371.074	43.4669	276.0527	363.0335	78.1135	173.9544	22.2856	1229.4635	124.9064	140.7269	124.405	95.531	643.7242	409.6386	371.5803	35.9919	150.2347	46.9587	169.375	279.7338	426.7965	115.1663	129.8174	68.7809	85.8797	220.4147	53.1212	98.5052	99.8657	124.8499	165.4454	57.6027	95.3629	77.8865	23.7911	106.1107	63.4189	126.0735	82.9655	198.407	98.2746	75.5637	98.9362
CLEC12A|160364	8.1667	0.46	14.3541	103.6397	123.2242	3.6065	37.0656	33.5106	20.9094	3.9027	7.6594	27.5473	20.5523	4.1456	9.9797	91.8773	13.555	8.0985	11.3914	14.5228	41.0342	56.6095	1.6249	30.4519	8.9995	32.8113	3.4273	9.7127	9.2593	26.0022	6.2416	2.2045	143.555	4.1612	1.5586	9.0565	32.2425	12.3149	64.6698	32.0153	2.8631	10.615	2.8037	29.4118	28.7936	18.3158	5.3842	197.6775	19.3912	39.7727	14.8174	53.6513	35.9933	2.8331	7.3359	35.1213	4.9675	8.5188	44.5836	1.9011	24.4598	9.4807	92.8243	98.9374	24.754	64.5898	307.8294	1.3387	13.2802	0.5759	24.7546	2.8364	15.625	3.4726	4.3653	97.7291	4.6973	10.2965	3.5173	5.4226	0.9004	65.3834	27.7653	204.6819	70.189	18.8479	12.9813	27.7886	2.4332	2.0341	42.3753	28.8561	111.2746	8.6894	47.2618	9.1408	1.6769
CLEC12B|387837	0.3403	0.46	1.4952	1.5423	7.412	1.8033	0.7722	0.5319	0.589	0.3002	0.2553	0.313	0.3211	0.4606	1.1089	2.5433	0	0.2999	0	0.5187	0.6079	1.53	0	0.6549	1.0588	0.3314	0	0	0	1.2746	0	0	2.4423	0.3783	0	1.0063	0.4812	0.3421	1.3615	0.9557	0	0.923	1.4019	2.9659	0.7678	0	0.4895	17.285	0	0	0	0	1.5997	0	1.834	0.6955	0.3548	0	1.8423	0	5.4355	0	5.5609	1.0715	0.3174	5.8015	9.8006	0	0.2656	0	0	0	2.5	0	0	5.6772	0	0.4119	0	0.319	0	2.1508	0.6717	17.407	2.6996	0	0.4993	0.7828	0	0.339	4.324	0.3435	4.7649	0.3621	0.7502	0.6094	0
CLEC14A|161198	679.2003	179.8735	142.6435	181.678	170.7844	701.109	303.861	227.9255	71.8575	200.5404	75.5729	129.5977	246.307	374.0212	270.56	442.219	243.5667	172.1683	77.2986	376.556	406.3904	235.0061	290.4438	245.2521	177.3425	144.8339	106.9317	237.151	595.8132	231.7252	448.0606	108.7536	155.2239	288.6366	247.3048	78.49	401.3474	170.6979	89.1763	998.6859	79.0208	185.9928	501.8692	248.3935	195.7961	69.6894	200.6853	218.7338	72.1533	238.6364	89.938	215.5222	397.5261	453.2979	1141.3428	152.3081	476.528	181.5167	135.9617	175.2218	68.4876	371.6454	544.5407	214.662	630.2761	304.3843	1425.5485	130.8568	348.7384	253.0953	1167.3069	102.1116	131.875	88.3573	356.6152	517.0316	117.4335	49.0115	111.6729	311.0048	95.1381	686.0953	101.433	371.5486	386.8106	239.7289	416.6511	179.2564	134.9063	290.8721	95.4165	138.0969	191.7175	139.7538	311.3278	246.1913	267.9661
CLEC16A|23274	683.624	496.8373	563.9952	993.831	694.5645	908.4844	512.3552	507.4468	798.9728	732.2125	1005.936	493.0349	655.4271	705.6656	348.1796	811.6357	968.3363	1774.1731	802.6851	899.8963	1307.6226	798.0416	542.7034	1038.6379	545.262	746.0436	397.5666	643.4642	549.9195	708.6865	722.6928	975.4753	643.4193	946.1076	190.1546	790.2672	640.5197	1322.4814	1105.8543	499.8208	1665.1636	750.8942	1175.7009	480.7217	761.3015	382.3985	1052.374	748.9118	808.1172	491.219	876.6368	311.8193	519.1034	527.6671	5634.5777	497.2616	543.9444	622.858	897.5682	1701.8378	2353.0371	618.1448	628.382	574.6942	754.6811	877.5704	698.5188	600.7363	920.5843	625.108	503.6278	419.4768	363.125	566.7985	1002.0148	678.0211	589.3029	684.1021	735.1066	662.201	1272.509	698.9999	639.4984	770.7083	575.0096	731.0462	766.6479	670.4501	1576.1602	1399.1016	483.4246	1104.0879	396.0479	549.2397	662.4156	511.883	706.3037
CLEC17A|388512	0.3403	0.9201	0	1.8507	4.6325	0	22.0077	5.0532	0.2945	0	5.6169	2.1913	13.8086	0	2.9569	75.3457	1.2708	0.2999	0.4068	6.2241	10.3345	10.0979	0.4062	130.6483	1.0588	1.3257	1.0282	2.0235	13.6876	43.5919	0	0.3674	10.8548	5.6744	1.0391	1.0063	0	0	3.744	15.2909	0.2863	5.0767	5.1402	7.4147	9.2139	6.7009	10.7685	13.5137	3.6077	11.8802	1.0338	5.9613	21.596	1.0624	0	1.3909	0	0	5.1584	0.6337	0.5436	7.9638	52.6147	3.2146	59.0289	56.4677	3.5639	1.6734	8.4993	0.5759	37.1319	0.3152	0	1.1575	0.6716	19.8702	0.8541	0.4119	0.2931	0.638	2.1008	26.2394	6.2696	0	16.9688	2.5413	39.9426	3.1311	0.5407	0	5.4771	4.1223	11.4918	0	2.2506	1.2188	0.6708
CLEC18A|348174	13.2709	32.6486	2.0933	11.8816	1.5442	13.2287	18.5328	4.2553	9.7184	8.1057	8.6347	0.313	5.1381	16.5822	15.4981	6.0404	23.2977	14.9972	1.6273	20.7469	7.2676	85.3733	14.6237	27.3739	0	3.6457	475.709	4.4516	49.1143	89.478	6.6875	1.8371	11.6689	0.3783	4.1564	16.2481	15.8807	34.208	1.3615	1.9114	2.5768	1.3846	1.8692	1.7301	13.0032	3.5738	18.0861	2.7939	4.9605	0.5165	27.2261	6.8784	4.3992	7.7911	8.3874	7.9979	8.5158	7.8635	3.6846	2.8517	2.6362	99.7375	6.4164	1.4287	11.7423	2.1775	0.891	8.3467	9.2961	8.926	14.0845	10.4003	3.125	4.2442	7.0517	13.7875	5.9784	3.2043	8.7931	82.1978	1.5006	0.6452	5.5979	38.4154	20.806	18.4244	4.9803	5.4795	5.9478	2.5494	3.4592	1.3741	4.2043	87.9797	1.5004	0	5.366
